summary_level,year,stem,cbsa_code,cbsa_title,vintage,excluded_tract_count,positive_area_overlap_tract_count,zero_area_overlap_tract_count,total_overlap_area_sq_m,mean_overlap_area_sq_m,mean_overlap_area_sq_km,median_overlap_area_sq_m,max_overlap_area_sq_m,max_overlap_area_sq_km,mean_overlap_pct_of_tract,median_overlap_pct_of_tract,max_overlap_pct_of_tract,mean_positive_overlap_area_sq_m,mean_positive_overlap_area_sq_km,max_overlap_tract_id,max_overlap_state,max_overlap_county,max_overlap_tract_name
overall,,,,,,20130,20130,0,6903313791.688273,342936.6016735357,0.34293660167353573,379.7599436057875,2387422213.552784,2387.422213552784,0.2589984971466385,0.000234244008049794,46.300355895587536,342936.6016735357,0.34293660167353573,G04002700105,Arizona,Yuma County,State: 04 County: 027 Tract: 105
year,1970,,,,march_2020,1745,1745,0,161866259.74560186,92760.03423816725,0.09276003423816725,288.09350436757256,17405899.424101893,17.405899424101893,0.35819921660931825,0.0003330822309622832,56.381489307726284,92760.03423816725,0.09276003423816725,G0800130013102,Colorado,Boulder County,Tract  131.02
year,1980,,,,march_2020,3737,3737,0,4785806361.033833,1280654.6323344482,1.2806546323344474,199.3495764472891,2387422213.552784,2387.422213552784,0.29423837259538055,0.00017638866091328843,46.300355895587536,1280654.6323344482,1.280654632334448,G04002700105,Arizona,Yuma County,State: 04 County: 027 Tract: 105
year,1990,,,,march_2020,7651,7651,0,884885882.4626807,115656.2387220861,0.1156562387220861,244.59118128703395,41733953.380899325,41.73395338089932,0.3551934051293482,0.00015569070894517985,0.11736814749101153,115656.2387220861,0.1156562387220861,G02029009608,02,Yukon-Koyukuk Census Area,BNA 9608
year,2000,,,,march_2020,5906,5906,0,817071790.4929036,138346.0532497297,0.1383460532497297,164.88199610354144,63654920.29943086,63.65492029943086,0.10090576414987078,0.00011619978161077875,0.19210451602186152,138346.0532497297,0.1383460532497297,G0200680000100,Alaska,680,Census Tract 1
year,2010,,,,march_2020,1091,1091,0,253683497.95325583,232523.8294713619,0.23252382947136194,11406.831649284195,26304233.66804293,26.304233668042933,0.16084246606402836,0.0047919050552657745,6.369329499613007,232523.8294713619,0.2325238294713619,G2200630040902,Louisiana,630,Census Tract 409.02
year_cbsa,1970,1008654_23420_march_2020,23420,"Fresno, CA",march_2020,13,13,0,444609.4826840187,34200.72943723221,0.03420072943723221,4846.691241935311,300985.3710098619,0.3009853710098619,0.010710285319484172,0.0008263092573710767,0.08037577698621451,34200.72943723221,0.03420072943723221,G06003900010,California,Madera County,Tract   10
year_cbsa,1970,1015331_46140_march_2020,46140,"Tulsa, OK",march_2020,13,13,0,394586.30199339066,30352.79246103005,0.030352792461030058,7703.621379978383,126114.27126671726,0.12611427126671726,0.054611966712375545,0.0022813450913941186,0.037812423983941225,30352.79246103005,0.03035279246103005,G40010100016,Oklahoma,Muskogee County,Tract   16
year_cbsa,1970,102206_30620_march_2020,30620,"Lima, OH",march_2020,7,7,0,7742.641894541338,1106.0916992201912,0.001106091699220191,4.414603322732926,5469.522567303271,0.005469522567303271,0.0005067193558430997,3.4401469551023636e-06,0.002677142046575575,1106.0916992201912,0.0011060916992201913,G39013700307,Ohio,Putnam County,Tract  307
year_cbsa,1970,103852_23900_march_2020,23900,"Gettysburg, PA",march_2020,13,13,0,152710.87424453418,11746.99032650263,0.011746990326502628,265.8026649849734,44784.232630368766,0.044784232630368764,0.1572435207963832,0.000133159231355989,0.03970391597297197,11746.99032650263,0.01174699032650263,G42013300205,Pennsylvania,York County,Tract  205
year_cbsa,1970,103856_13020_march_2020,13020,"Bay City, MI",march_2020,5,5,0,133.59710371317786,26.71942074263557,2.6719420742635572e-05,27.02971490855503,77.91246082465901,7.791246082465901e-05,4.410959405676611e-05,2.9264452278547973e-05,0.00016000506244530778,26.71942074263557,2.671942074263557e-05,G26014500102,Michigan,Saginaw County,Tract  102
year_cbsa,1970,103998_19500_march_2020,19500,"Decatur, IL",march_2020,1,1,0,13080.419051136298,13080.419051136298,0.013080419051136298,13080.419051136298,13080.419051136298,0.013080419051136298,0.0036856187881144746,0.0036856187881144746,0.0036856187881144746,13080.419051136298,0.013080419051136298,G17016700040,Illinois,Sangamon County,Tract   40
year_cbsa,1970,1043433_46060_march_2020,46060,"Tucson, AZ",march_2020,1,1,0,2664942.1379935173,2664942.1379935173,2.6649421379935174,2664942.1379935173,2664942.1379935173,2.6649421379935174,0.03422292935704721,0.03422292935704721,0.03422292935704721,2664942.1379935173,2.6649421379935174,G04001307233,Arizona,Maricopa County,Tract 7233
year_cbsa,1970,1087592_24340_march_2020,24340,"Grand Rapids-Kentwood, MI",march_2020,11,11,0,1253.7286040688464,113.9753276426224,0.00011397532764262239,4.033376187100686,850.6380748663679,0.0008506380748663679,0.00016847727846157573,3.097696086603483e-06,0.0015486966416818522,113.9753276426224,0.0001139753276426224,G26012100028,Michigan,Muskegon County,Tract   28
year_cbsa,1970,1090135_40380_march_2020,40380,"Rochester, NY",march_2020,3,3,0,52.370742849909256,17.456914283303085,1.7456914283303085e-05,0.12090907182083757,52.20598095369565,5.220598095369565e-05,9.597730239444046e-06,8.9304844117789e-08,2.865833384731185e-05,17.456914283303085,1.7456914283303085e-05,G3600630024001,New York,Niagara County,Tract  240.01
