year,stem,cbsa_code,cbsa_title,vintage,tract_id_column,tract_id,source_path,definition_path,state,county,tract_name,total_population,tract_area_sq_m,tract_area_sq_km,cbsa_overlap_area_sq_m,cbsa_overlap_area_sq_km,cbsa_overlap_pct_of_tract,positive_area_overlap,representative_point_within_cbsa,geometry_type,is_valid,validity_reason,rep_within_own_geometry,rep_covered_by_own_geometry,centroid_within_cbsa,centroid_distance_to_cbsa_m,largest_component_rep_within_cbsa,largest_component_rep_covered_by_cbsa,largest_component_rep_distance_to_cbsa_m,rep_distance_to_cbsa_m,rep_distance_to_cbsa_boundary_m,tract_nonoverlap_area_sq_km,tract_nonoverlap_pct,overlap_geometry_type,nonoverlap_geometry_type,component_count,largest_component_index,largest_component_area_pct,rep_component_index,rep_component_rank_by_area,rep_component_area_pct,rep_on_largest_component,diagnostic_bucket
1980,6245051_37980_march_2020,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",march_2020,GISJOIN,G42010100050,old_cbsas/1980/6245051_37980_march_2020_cbsa_tracts.shp,cbsas/defs/6245051_37980_march_2020.shp,Pennsylvania,Philadelphia County,State: 42 County: 101 Tract: 50,2886,7859689.117567622,7.859689117567622,5365953.216645592,5.365953216645592,68.2718252131863,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,58.92615107420811,58.92615107420811,58.92615107420811,2.493735900922074,31.728174786814254,Polygon,Polygon,1,0,100.00000000000001,0,1,100.00000000000001,True,other_high_overlap
1990,6245051_37980_march_2020,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",march_2020,GISJOIN,G42010100050,old_cbsas/1990/6245051_37980_march_2020_cbsa_tracts.shp,cbsas/defs/6245051_37980_march_2020.shp,42,Philadelphia County,Tract 50,2229,7859689.117567622,7.859689117567622,5365953.216645592,5.365953216645592,68.2718252131863,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,58.92615107420811,58.92615107420811,58.92615107420811,2.493735900922074,31.728174786814254,Polygon,Polygon,1,0,100.00000000000001,0,1,100.00000000000001,True,other_high_overlap
1990,270861_42100_march_2020,42100,"Santa Cruz-Watsonville, CA",march_2020,GISJOIN,G0600850513298,old_cbsas/1990/270861_42100_march_2020_cbsa_tracts.shp,cbsas/defs/270861_42100_march_2020.shp,06,Santa Clara County,Tract 5132.98,49,197044.80493741485,0.1970448049374148,66298.566389035,0.066298566389035,33.646442193739986,True,False,Polygon,True,Valid Geometry,True,True,False,57.08008394158116,False,False,41.05048057367705,41.05048057367705,41.05048057367705,0.13074623854837997,66.35355780626007,MultiPolygon,Polygon,1,0,100.0,0,1,100.0,True,other_high_overlap
2000,330758_14500_march_2020,14500,"Boulder, CO",march_2020,GISJOIN,G0800130013104,old_cbsas/2000/330758_14500_march_2020_cbsa_tracts.shp,cbsas/defs/330758_14500_march_2020.shp,Colorado,130,Census Tract 131.04,4840,7610202.450186618,7.610202450186618,2192725.204963639,2.1927252049636388,28.81296810848795,True,False,Polygon,True,Valid Geometry,True,True,False,163.44098122818775,False,False,424.42972721736186,424.42972721736186,424.42972721736186,5.417477245222974,71.18703189151199,GeometryCollection,Polygon,1,0,100.0,0,1,100.0,True,other_high_overlap
1980,330758_14500_march_2020,14500,"Boulder, CO",march_2020,GISJOIN,G0800130013104,old_cbsas/1980/330758_14500_march_2020_cbsa_tracts.shp,cbsas/defs/330758_14500_march_2020.shp,Colorado,Boulder County,State: 08 County: 013 Tract: 131.04,1344,7610202.4807382915,7.610202480738291,2192725.2068930394,2.1927252068930394,28.812968018169155,True,False,Polygon,True,Valid Geometry,True,True,False,163.4409800610657,False,False,424.4297278906229,424.4297278906229,424.4297278906229,5.417477273845247,71.18703198183078,GeometryCollection,Polygon,1,0,100.0,0,1,100.0,True,other_high_overlap
1990,330758_14500_march_2020,14500,"Boulder, CO",march_2020,GISJOIN,G0800130013104,old_cbsas/1990/330758_14500_march_2020_cbsa_tracts.shp,cbsas/defs/330758_14500_march_2020.shp,08,Boulder County,Tract 131.04,2070,7610202.48073829,7.610202480738289,2192725.206893039,2.192725206893039,28.812968018169155,True,False,Polygon,True,Valid Geometry,True,True,False,163.44098006179635,False,False,424.4297278906229,424.4297278906229,424.4297278906229,5.417477273845247,71.1870319818308,GeometryCollection,Polygon,1,0,100.0,0,1,100.0,True,other_high_overlap
1990,2660329_16740_march_2020,16740,"Charlotte-Concord-Gastonia, NC-SC",march_2020,GISJOIN,G3700450952098,old_cbsas/1990/2660329_16740_march_2020_cbsa_tracts.shp,cbsas/defs/2660329_16740_march_2020.shp,37,Cleveland County,BNA 9520.98,1,78042.08377513607,0.078042083775136,19540.99030357385,0.0195409903035738,25.03904221711663,True,False,Polygon,True,Valid Geometry,True,True,False,29.231717256456886,False,False,38.64054698238778,38.64054698238778,38.64054698238778,0.0585010934715617,74.96095778288272,GeometryCollection,Polygon,1,0,100.0,0,1,100.0,True,other_high_overlap
1980,20140470_35620_march_2020,35620,"New York-Newark-Jersey City, NY-NJ-PA",march_2020,GISJOIN,G34002900225,old_cbsas/1980/20140470_35620_march_2020_cbsa_tracts.shp,cbsas/defs/20140470_35620_march_2020.shp,New Jersey,Ocean County,State: 34 County: 029 Tract: 225,1588,10071835.923034793,10.071835923034794,2442264.1128469547,2.4422641128469547,24.248450148610686,True,False,Polygon,True,Valid Geometry,True,True,False,170.23468285249282,False,False,415.7687212317169,415.7687212317169,415.7687212317169,7.629571810187821,75.75154985138914,MultiPolygon,MultiPolygon,1,0,100.0,0,1,100.0,True,other_high_overlap
1990,20140470_35620_march_2020,35620,"New York-Newark-Jersey City, NY-NJ-PA",march_2020,GISJOIN,G34002907225,old_cbsas/1990/20140470_35620_march_2020_cbsa_tracts.shp,cbsas/defs/20140470_35620_march_2020.shp,34,Ocean County,Tract 7225,1683,10071835.923034793,10.071835923034794,2442264.1128469547,2.4422641128469547,24.248450148610686,True,False,Polygon,True,Valid Geometry,True,True,False,170.23468285249282,False,False,415.7687212317169,415.7687212317169,415.7687212317169,7.629571810187821,75.75154985138914,MultiPolygon,MultiPolygon,1,0,100.0,0,1,100.0,True,other_high_overlap
1990,136001_44220_march_2020,44220,"Springfield, OH",march_2020,GISJOIN,G3900230003498,old_cbsas/1990/136001_44220_march_2020_cbsa_tracts.shp,cbsas/defs/136001_44220_march_2020.shp,39,Clark County,Tract 34.98,4,592226.622826596,0.592226622826596,108546.11995230708,0.108546119952307,18.328476932400484,True,False,Polygon,True,Valid Geometry,True,True,False,69.96101145257859,False,False,99.31454247231537,99.31454247231537,99.31454247231537,0.4836805028743176,81.67152306760435,GeometryCollection,MultiPolygon,1,0,100.0,0,1,100.0,True,other_high_overlap
